,Date/Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2014,,,,,,,,,,,,FY 2015,,,,,,,,,,,,FY 2016,,,,,,,,,,,
Branch (group),July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June
Marcy,380,430,465,379,524,380,355,515,430,386,355,373,342,238,253,380,337,422,357,306,317,379,357,291,216,229,222,326,341,342,367,349,414,381,356,309
McKinley Park,768,746,753,515,720,604,495,657,641,664,671,353,766,766,656,572,556,731,571,542,543,588,585,575,639,650,650,563,548,531,479,309,77,493,531,660
Midwood,384,734,479,344,440,20,375,387,,439,21,544,499,524,522,552,439,560,433,426,500,441,509,593,568,555,561,580,567,577,555,535,559,634,661,741
Mill Basin,294,322,368,297,367,287,256,274,280,216,229,155,258,229,243,255,298,349,260,207,267,236,244,218,107,120,138,219,248,243,215,260,280,265,270,220
New Lots,524,600,532,422,581,444,356,403,464,392,440,528,509,506,525,492,439,589,469,460,547,595,516,557,664,706,669,654,714,675,559,703,693,651,305,444
New Utrecht,997,959,1002,710,956,274,641,916,936,821,804,753,831,794,875,779,788,969,773,803,841,996,898,1073,1028,1180,1066,1024,1029,1023,844,943,934,1074,1013,564
Pacific,363,429,404,372,466,349,382,492,520,374,515,422,423,409,468,470,367,506,413,390,424,431,454,454,404,397,500,551,457,507,484,551,572,609,538,609
Paerdegat,267,253,237,168,229,185,206,199,200,222,193,218,259,226,233,216,141,,95,146,183,186,191,213,259,268,259,222,217,239,195,248,246,212,277,261
Park Slope,534,553,686,450,634,334,498,655,609,556,581,56,573,563,640,568,506,603,548,537,609,583,551,608,553,587,620,589,595,531,539,634,681,620,552,605
Red Hook,218,278,215,185,189,152,177,122,147,132,111,152,156,145,175,196,186,279,169,141,176,167,134,155,155,139,134,132,133,105,129,118,124,142,128,131
Rugby,337,380,392,277,294,246,324,310,278,276,217,294,324,298,275,269,242,329,270,239,303,283,252,300,305,331,319,331,301,344,340,352,385,389,354,393
Ryder,379,382,373,246,312,272,279,300,335,335,337,314,379,320,344,353,264,379,256,259,308,340,275,366,334,334,352,348,377,324,317,331,317,355,381,408
Saratoga,496,480,590,390,532,418,422,473,434,361,389,382,440,460,464,490,431,563,431,333,403,486,429,461,526,547,508,470,469,473,460,439,504,490,434,456
Sheepshead Bay,166,268,151,108,145,1,167,177,,146,8,81,244,205,218,223,202,284,226,225,237,255,238,265,244,267,276,275,241,235,283,284,300,312,300,350
Spring Creek,235,345,344,231,350,246,223,251,208,230,188,225,219,218,242,238,143,213,164,167,169,175,164,190,195,236,197,210,184,193,185,218,201,229,270,276
Stone Avenue,188,405,236,177,222,,151,194,,188,1,130,284,261,298,356,306,407,357,305,320,307,329,356,372,383,397,396,322,340,327,336,419,483,559,577
Sunset Park,930,1002,995,686,923,752,663,900,926,808,831,677,940,963,850,852,826,1100,807,797,820,917,822,998,1105,1086,1064,906,798,807,762,779,858,858,767,950
Ulmer Park,274,275,29,224,286,284,223,289,337,303,281,312,328,346,306,302,270,354,283,250,284,8,4,0,0,0,0,0,,0,0,,0,,,0
Walt Whitman,293,312,311,240,337,267,253,263,223,156,222,220,232,223,241,210,170,288,184,190,199,201,205,250,226,225,237,226,202,208,193,180,225,214,190,236
Washington Irving,564,671,781,513,674,536,407,439,360,289,322,243,259,284,326,341,285,347,300,264,313,279,279,293,296,337,344,359,372,326,293,330,367,360,372,192
Williamsburgh,366,457,397,307,407,323,360,334,343,10,324,335,393,329,374,326,335,341,320,329,378,400,392,414,419,407,385,384,357,347,362,301,320,338,365,389
Windsor Terrace,548,578,634,454,542,440,439,460,472,394,415,531,463,475,435,396,377,465,377,392,415,423,352,430,449,409,474,431,403,404,365,379,464,457,439,497
