date,close,open
1992,19206,8884103
1993,19486,9220621
1998,13953,10319760
1999,14300,10356623
2000,12500,11180767
2001,10345,11469622
2002,15828,11141898
2003,15101,10110201
2004,15888,12001857
2005,14519,15370209
2006,14422,15923239
2007,17547,16488414
2008,19536,16823608
2009,7310,17272770
2010,3626,19473773
2011,3399,20148596
2012,6445,19238573
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
